Codice_scuola, Perc_certificato_agibilita_abitabilita, Perc_certificato_collaudo_statico, Perc_certificato_omologazione_centrale_termi, Perc_certificato_prevenzione_incendi_cpi, Perc_nullaosta_provvisorio_prevenzione_incendi_nop, Perc_certificato_collaudo_impianto_spegnimento, Perc_documento_valutazione_rischio, Perc_piano_emergenza, Perc_Media
AQEE829036, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,25.0
GRMM82001G, 100.0 ,0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
MIIC8DY00C, 0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,25.0
SATH07102P, 0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
MIIC8GD001, 0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
TAEE815029, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
TAIS04100V, 0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
TVEE87804T, 100.0 ,100.0 ,100.0 ,50.0 ,50.0 ,0.0 ,100.0 ,100.0 ,75.0
BIMM816014, 50.0 ,50.0 ,50.0 ,0.0 ,50.0 ,0.0 ,100.0 ,100.0 ,50.0
BRPC002011, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
RMRC03201E, 0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,62.5
VRPS01702C, 100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,75.0
PDIC82700N, 100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
ARIC83700G, 100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,75.0
NAIC8DZ00T, 100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
FRIC83600X, 100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,25.0
SVIC81900Q, 0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,62.5
LTEE812037, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
RMTF05101D, 0.0 ,0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
MIEE8B502V, 100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,75.0
VIIS00400E, 100.0 ,100.0 ,50.0 ,50.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
AGIS027004, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
FEPS00701V, 100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,62.5
PTEE824015, 0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
PAEE039006, 0.0 ,0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
VEEE83502T, 0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,12.5
